"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","Bolton","Unit","Selected area","Bolton","Unit","Base population","Source","Geography","Time period"
"Occupation","6. Caring, leisure and other service occupations",7.9,9.9,"%","193","12393","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","7. Sales and customer service occupations",8.8,9.7,"%","214","12227","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","8. Process, plant and machine operatives",7.9,9.2,"%","193","11486","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","9. Elementary occupations",9.2,11.8,"%","223","14810","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L1, L2 and L3: Higher managerial, administrative and professional occupations",11.9,9.3,"%","418","21610","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L4, L5 and L6: Lower managerial, administrative and professional occupations",23.5,17.4,"%","827","40501","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L7: Intermediate occupations",14.2,12,"%","500","27986","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L8 and L9: Small employers and own account workers",9.6,9.5,"%","338","22145","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L10 and L11: Lower supervisory and technical occupations",6.4,5.2,"%","225","12102","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L12: Semi-routine occupations",11.5,12,"%","406","27860","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L13: Routine occupations",12.2,14.6,"%","429","33871","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L14.1 and L14.2: Never worked and long-term unemployed",5.4,12.6,"%","189","29156","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L15: Full-time students",5.3,7.3,"%","185","17057","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Part-time: 15 hours or less worked",7.2,9.3,"%","176","11725","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Part-time: 16 to 30 hours worked",15.9,22.1,"%","388","27750","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Full-time: 31 to 48 hours worked",67.7,60.4,"%","1650","75764","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Full-time: 49 or more hours worked",9.2,8.1,"%","225","10199","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","No qualifications",14.6,22.6,"%","513","52451","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Level 1, 2 or 3 qualifications",46.8,41,"%","1649","95334","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Apprenticeship",6.8,6.2,"%","240","14327","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Level 4 qualifications and above",29.5,27.4,"%","1040","63678","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Other qualifications",2.3,2.8,"%","80","6497","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Schoolchildren and full-time students","Student",18.4,22.4,"%","753","62169","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Schoolchildren and full-time students","Not a student",81.6,77.6,"%","3348","215336","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
